"Dostoevsky_BednieLyudi" "Dostoevsky_Besy" "Dostoevsky_PrestuplenieINakazanie" "Dostoevsky_UnijennieIOskorblennie" "Goncharov_Oblomov" "Goncharov_Obryv" "Goncharov_ObyknovennayaIstoriya" "Tolstoy_AnnaKarenina" "Tolstoy_SemeynoeShastye" "Tolstoy_VoinaIMir" "Tolstoy_Voskresenie" "Turgenev_DvoryanskoeGnezdo" "Turgenev_Dym" "Turgenev_OtsyIDeti"
"j" 0 0.573065902578797 0.581395348837209 0 0 0.458115183246073 0 0.0995024875621891 0 0.311587915121874 0.302571860816944 0.472813238770686 0.61576354679803 0.796812749003984
"comme" 0 0.654932460090053 0.581395348837209 0 0 0.261780104712042 0 0.0995024875621891 0 0.307643764297547 0.75642965204236 0.945626477541371 0.246305418719212 0.398406374501992
"xviii" 0 0 0 0 0 0.261780104712042 0.408163265306122 0.895522388059702 0 0.291867161000237 0.75642965204236 0.472813238770686 0 0.398406374501992
"xiii" 0 0 0 0.8 0 0.327225130890052 0 0.995024875621891 0 0.283978859351582 0.453857791225416 0.236406619385343 0 0.398406374501992
"xiv" 0 0 0 0.8 0 0.261780104712042 0 0.961857379767827 0 0.287923010175909 0.453857791225416 0.236406619385343 0 0.398406374501992
"xix" 0 0 0 0 0 0.130890052356021 0 0.995024875621891 0 0.295811311824564 0.453857791225416 0.236406619385343 0 0.398406374501992
"dans" 0 0.654932460090053 0 0 0 0.130890052356021 0 0.066334991708126 0 0.343141121716494 0.302571860816944 0 0.246305418719212 0
"xvii" 0 0 0 0 0 0.261780104712042 0.408163265306122 0.995024875621891 0 0.268202256054272 0.453857791225416 0.236406619385343 0 0.398406374501992
"plus" 0 0.532132623823168 0 0 0 0.130890052356021 0 0.066334991708126 0 0.331308669243512 0 0.236406619385343 0.369458128078818 0
"m" 0 0.49119934506754 0 0 0.5 0.196335078534031 0.816326530612245 0.165837479270315 0 0.283978859351582 0.453857791225416 0 0.369458128078818 0
"on" 0 0.409332787556283 0 0 0 0.130890052356021 0 0.132669983416252 0 0.323420367594857 0 0 0.369458128078818 0
"me" 0 0.49119934506754 0 0 0 0.130890052356021 0 0.033167495854063 0 0.311587915121874 0.151285930408472 0 0.246305418719212 0
"ai" 0 0.409332787556283 0.581395348837209 0 0 0.130890052356021 0 0.0995024875621891 0 0.291867161000237 0.302571860816944 0.236406619385343 0.369458128078818 0
"tante" 0 0 0 0 12.5 0.523560209424084 13.8775510204082 0.066334991708126 0 0.0749388656622229 0.75642965204236 0.472813238770686 0 0
"marie" 0 2.86532951289398 0 0 0 0 0 0.0995024875621891 0 0.082827167310878 0 0 0 0
"si" 0 0.450266066311912 0.581395348837209 0 0 0.196335078534031 0 0.066334991708126 0 0.272146406878599 0 0.709219858156028 0.246305418719212 0.796812749003984
"chere" 0 0.0409332787556283 0 0 2 0.130890052356021 0 0.0995024875621891 0 0.299755462648892 0 0.236406619385343 0.246305418719212 0
"s" 45 0.163733115022513 1.16279069767442 0.8 0 0.654450261780105 1.22448979591837 0.199004975124378 0 0.197207541216376 0.151285930408472 0 0 0.796812749003984
"votre" 0 0.0818665575112567 0 0 0 0.196335078534031 0 0.033167495854063 0 0.287923010175909 0.75642965204236 0.472813238770686 0.246305418719212 0
"au" 0 0.204666393778142 0 0 1.5 0.196335078534031 0 0.0995024875621891 0 0.240593200283979 0.302571860816944 0.236406619385343 0.492610837438424 0.398406374501992
"homme" 0 0.327466230045027 0 0 0 0.327225130890052 0.408163265306122 0.066334991708126 0 0.224816596986669 0.75642965204236 0.709219858156028 0 0.796812749003984
"cousin" 0 0 0 0 1 3.59947643979058 0 0 0 0.0709947148378954 0.151285930408472 0.709219858156028 0 0
"xx" 0 0 0 0 0 0.130890052356021 0 0.796019900497512 0 0.177486787094739 0.453857791225416 0.236406619385343 0 0.398406374501992
"xxi" 0 0 0 0 0 0.130890052356021 0 0.862354892205638 0 0.165654334621756 0.453857791225416 0.236406619385343 0 0.398406374501992
"se" 0 0.0818665575112567 0.581395348837209 0 0 0.392670157068063 0 0.132669983416252 0 0.216928295338014 0.151285930408472 0 0.246305418719212 0
"cette" 0 0.49119934506754 0 0 0 0.261780104712042 0.408163265306122 0 0 0.181430937919066 0.151285930408472 0.236406619385343 0.246305418719212 0
"y" 0 0.24559967253377 0.581395348837209 0 0 0.392670157068063 0 0.066334991708126 0 0.197207541216376 0 0.236406619385343 0.123152709359606 0
"xxii" 0 0 0 0 0 0.0654450261780105 0 0.928689883913765 0 0.126212826378481 0.453857791225416 0.236406619385343 0 0.398406374501992
"xxiii" 0 0 0 0 0 0.130890052356021 0 0.961857379767827 0 0.106492072256843 0.453857791225416 0.236406619385343 0.123152709359606 0.398406374501992
"elle" 0 0.24559967253377 0 0 0 0.523560209424084 0 0.232172470978441 0 0.122268675554153 0.605143721633888 0.472813238770686 0.369458128078818 0
